Rank,Word,Score,Match,Exact,Frequency
1,STARE,4738.0,4078,1320,0.000701
2,AROSE,4704.5,4083,1243,0.002316
3,RAISE,4691.0,4057,1268,0.005291
4,IRATE,4691.0,4107,1168,6.5e-05
5,ARISE,4690.0,4057,1266,0.003953
6,SANER,4627.0,3959,1336,0
7,SNARE,4624.0,3959,1330,0.00021
8,LATER,4622.0,4106,1032,0.029636
9,SLATE,4604.0,3888,1432,0.000938
10,ALTER,4596.5,4106,981,0.00227
11,CRATE,4573.0,3907,1332,0.000182
12,ALERT,4566.0,4106,920,0.001214
13,STALE,4554.0,3888,1332,0.000403
14,TRACE,4554.0,3907,1294,0.003142
15,SCARE,4498.5,3857,1283,0.000339
16,TEARY,4482.0,3877,1210,1.9e-05
17,SHARE,4481.5,3788,1387,0.012293
18,CATER,4478.5,3907,1143,0.000219
19,CRANE,4475.5,3788,1375,0.001163
20,STORE,4472.5,3844,1257,0.006293
21,LEARN,4444.0,3987,914,0.008237
22,TRADE,4437.5,3831,1213,0.028207
23,REACT,4434.5,3907,1055,0.001134
24,ALONE,4417.5,3824,1187,0.014774
25,LEAST,4417.0,3888,1058,0.02993
26,SPARE,4408.0,3756,1304,0.001672
27,SAUTE,4396.5,3699,1395,4.5e-05
28,EARLY,4387.5,3855,1065,0.031025
29,RENAL,4387.0,3987,800,0.001818
30,GRATE,4384.5,3760,1249,0.000334
31,ATONE,4378.0,3846,1064,0.000104
32,AISLE,4369.5,3867,1005,0.000453
33,CLEAR,4359.5,3885,949,0.020073
34,SNORE,4358.5,3725,1267,4.1e-05
35,PARSE,4356.5,3756,1201,6.9e-05
36,STEAL,4356.0,3888,936,0.000747
37,LEANT,4353.5,3819,1069,9.4e-05
38,HEART,4347.5,3838,1019,0.019077
39,RELAY,4347.0,3855,984,0.000789
40,HATER,4345.0,3838,1014,6.6e-05
41,GLARE,4334.5,3738,1193,0.000455
42,BLARE,4330.5,3705,1251,2.7e-05
43,LAYER,4330.0,3855,950,0.006382
44,PALER,4327.5,3784,1087,0.000253
45,TAPER,4326.0,3806,1040,0.000303
46,ALIEN,4325.0,3798,1054,0.001786
47,ADORE,4323.5,3836,975,0.000194
48,SHEAR,4318.0,3788,1060,0.001701
49,SCALE,4314.5,3667,1295,0.012411
50,LOSER,4310.0,3822,976,0.000184
51,SHALE,4297.5,3598,1399,0.001467
52,STOLE,4288.5,3654,1269,0.00056
53,SIREN,4287.5,3699,1177,0.00017
54,AIDER,4283.0,3810,946,2.3e-05
55,TAMER,4281.0,3759,1044,3.7e-05
56,PEARL,4280.5,3784,993,0.001258
57,TRICE,4274.0,3647,1254,4.7e-05
58,TREAD,4267.5,3831,873,0.00053
59,BALER,4264.5,3705,1119,0
60,LARGE,4264.0,3738,1052,0.049779
61,CASTE,4260.5,3689,1143,0.000925
62,ROAST,4254.0,3697,1114,0.000391
63,FLARE,4251.5,3645,1213,0.000332
64,GREAT,4247.0,3760,974,0.0685
65,EARTH,4245.5,3838,815,0.014159
66,SPEAR,4244.5,3756,977,0.00064
67,SOLAR,4240.0,3675,1130,0.003441
68,ROUTE,4238.0,3683,1110,0.00534
69,SCORE,4233.0,3623,1220,0.00312
70,LAGER,4232.0,3738,988,6.9e-05
71,STAIR,4230.0,3671,1118,0.000297
72,SAFER,4229.0,3617,1224,0.000688
73,CANOE,4221.5,3625,1193,0.00056
